ANO_ENTREGA;COMUNA;DIRECCION;ESTADO;FECHA_ENTR;FECHA_PUBLICACION;INMOBILIARIA;MODALIDAD;N_BANOS;N_DORMITORIOS;MONEDA;REGION;TIPO;PRECIO_DESPLIEGUE;UF;UF_DESDE;UF_HASTA;M2_TOTALES;M2_CONSTRUIDOS;M2_DESDE;M2_HASTA
;VINA DEL MAR;ARLEGUI 160;USADA;;06-03-2019;;ARRIENDO;1;2;UF;V;OFICINAS;UF 9,80;9,80;;;;40;;
;VINA DEL MAR;3 ORIENTE COMODAS OFICINAS / 9 NORTE;USADA;;28-05-2019;;ARRIENDO;1;1;UF;V;OFICINAS;UF 10,08;10,08;;;;12;;
;VINA DEL MAR;VIANA;USADA;;23-04-2019;;ARRIENDO;1;2;UF;V;OFICINAS;UF 10,08;10,08;;;;28;;
;VINA DEL MAR;6 NORTE 241;USADA;;29-05-2019;;ARRIENDO;1;1;UF;V;OFICINAS;UF 10,09;10,09;;;;18;;
;VALPARAISO;URUGUAY 580;USADA;;26-05-2019;;ARRIENDO;1;;UF;V;OFICINAS;UF 10,09;10,09;;;;46;;
;VALPARAISO;URUGUAY 90;USADA;;25-02-2019;;ARRIENDO;1;;UF;V;OFICINAS;UF 10,16;10,16;;;;60;;
;VINA DEL MAR;NUEVA EN BOSQUES DE MONTEMAR;USADA;;22-05-2019;;ARRIENDO;1;1;UF;V;OFICINAS;UF 10,42;10,42;;;;28;;
;LOS ANDES;ARRIENDO DE OFICINA EN LOS ANDES;USADA;;25-02-2019;;ARRIENDO;1;;UF;V;OFICINAS;UF 10,44;10,44;;;;27;;
;VINA DEL MAR;BOSQUES DE MONTEMAR;USADA;;04-06-2019;;ARRIENDO;1;2;UF;V;OFICINAS;UF 10,44;10,44;;;;35;;
;VINA DEL MAR;9 NORTE 987;USADA;;14-05-2019;;ARRIENDO;1;1;UF;V;OFICINAS;UF 10,45;10,45;;;;36;;
;LOS ANDES;ARRIENDO OFICINA EN EL CENTRO DE LOS AND;USADA;;25-02-2019;;ARRIENDO;;;UF;V;OFICINAS;UF 10,46;10,46;;;;30;;
